Year,Date,Day,Location,Stage,Time,Artist
2009,"June 26, 2009",Friday,Los Angeles,kineticFIELD,3pm-4pm,Joaquin Bamaca
2009,"June 26, 2009",Friday,Los Angeles,kineticFIELD,4pm-6pm,Aly & Fila
2009,"June 26, 2009",Friday,Los Angeles,kineticFIELD,6pm-8pm,Fedde Le Grand
2009,"June 26, 2009",Friday,Los Angeles,kineticFIELD,8pm-9:30pm,Eddie Halliwell
2009,"June 26, 2009",Friday,Los Angeles,kineticFIELD,9:45pm-10:45pm,Thievery Corporation
2009,"June 26, 2009",Friday,Los Angeles,kineticFIELD,11pm-12:30am,ATB
2009,"June 26, 2009",Friday,Los Angeles,kineticFIELD,12:30am-2am,Paul Oakenfold
2009,"June 26, 2009",Friday,Los Angeles,circuitGROUNDS,4pm-5:30pm,Manufactured Superstars
2009,"June 26, 2009",Friday,Los Angeles,circuitGROUNDS,5:30pm-7:15pm,Patricio
2009,"June 26, 2009",Friday,Los Angeles,circuitGROUNDS,7:15pm-8:15pm,Daedalus
2009,"June 26, 2009",Friday,Los Angeles,circuitGROUNDS,8:15pm-10:15pm,Lawgiverz
2009,"June 26, 2009",Friday,Los Angeles,circuitGROUNDS,10:15pm-11:45pm,Pretty Lights
2009,"June 26, 2009",Friday,Los Angeles,circuitGROUNDS,12am-2am,STS9
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,4pm-4:45pm,C-Town
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,4:45pm-5:30pm,KRY-LOW
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,5:30pm-6:15pm,Paul Devro
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,6:15pm-7pm,Foamo
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,7pm-7:55pm,12th Planet
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,7:55pm-8:50pm,Nick Catchoubs
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,8:50pm-9:20pm,Computer Club
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,9:20pm-10:15pm,Fake Blood
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,10:15pm-11:10am,Shinichi Osawa
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,11:20pm-12:20am,Shiny Toy Guns
2009,"June 26, 2009",Friday,Los Angeles,neonGARDEN,12:30am-2am,Boys Noize
2009,"June 26, 2009",Friday,Los Angeles,bassPOD,3pm-4pm,DLX
2009,"June 26, 2009",Friday,Los Angeles,bassPOD,4pm-5pm,Scooba
2009,"June 26, 2009",Friday,Los Angeles,bassPOD,5pm-6pm,Pablo Hassan
2009,"June 26, 2009",Friday,Los Angeles,bassPOD,6pm-7pm,Hazen
2009,"June 26, 2009",Friday,Los Angeles,bassPOD,7pm-8pm,Deco
2009,"June 26, 2009",Friday,Los Angeles,bassPOD,8pm-9pm,Subflo
2009,"June 26, 2009",Friday,Los Angeles,bassPOD,9pm-2am,Monsters of Jungle
2009,"June 27, 2009",Saturday,Los Angeles,kineticFIELD,4pm-6:30pm,Joaquin Bamaca
2009,"June 27, 2009",Saturday,Los Angeles,kineticFIELD,6:30pm-8pm,James Zabiela
2009,"June 27, 2009",Saturday,Los Angeles,kineticFIELD,8pm-9:30pm,Kaskade
2009,"June 27, 2009",Saturday,Los Angeles,kineticFIELD,9:30pm-11pm,Groove Armada
2009,"June 27, 2009",Saturday,Los Angeles,kineticFIELD,11pm-12:30am,Benny Benassi
2009,"June 27, 2009",Saturday,Los Angeles,kineticFIELD,12:30am-2am,David Guetta
2009,"June 27, 2009",Saturday,Los Angeles,kineticFIELD,2am-4am,Paul Van Dyk
2009,"June 27, 2009",Saturday,Los Angeles,circuitGROUNDS,4pm-6pm,Kyau & Albert
2009,"June 27, 2009",Saturday,Los Angeles,circuitGROUNDS,6pm-7:30pm,Cosmic Gate
2009,"June 27, 2009",Saturday,Los Angeles,circuitGROUNDS,7:30pm-9pm,YOJI
2009,"June 27, 2009",Saturday,Los Angeles,circuitGROUNDS,9pm-10:45pm,Sander Van Doorn
2009,"June 27, 2009",Saturday,Los Angeles,circuitGROUNDS,11pm-12:30am,The Crystal Method (live)
2009,"June 27, 2009",Saturday,Los Angeles,circuitGROUNDS,12:45am-2:15am,Markus Schulz
2009,"June 27, 2009",Saturday,Los Angeles,circuitGROUNDS,2:30am-4am,Infected Mushroom (live)
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,4pm-5pm,The Captain
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,5pm-6pm,Shark Slayer
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,6pm-7pm,Grum
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,7pm-8pm,Kelevra
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,8pm-9pm,DJ AM
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,9pm-9:50pm,Bird Petereson
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,9:50pm-10:40pm,Bass Weazal
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,10:40pm-11:40pm,Major Lazer
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,11:40pm-12:40am,Le Castle Vania
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,12:40am-1:40am,Diplo
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,1:50am-3:05am,Simian Mobile Disco (live)
2009,"June 27, 2009",Saturday,Los Angeles,neonGARDEN,3:15am-4am,Eli Smith
2009,"June 27, 2009",Saturday,Los Angeles,bassPOD,3:30pm-4:30pm,Circuit
2009,"June 27, 2009",Saturday,Los Angeles,bassPOD,4:30pm-5:30pm,Hazen
2009,"June 27, 2009",Saturday,Los Angeles,bassPOD,5:30pm-7:30pm,"Mystical Influence, Sniper & Fury"
2009,"June 27, 2009",Saturday,Los Angeles,bassPOD,7:30pm-9:30pm,LTJ Bukem
2009,"June 27, 2009",Saturday,Los Angeles,bassPOD,9pm-10:30pm,DJ Hype
2009,"June 27, 2009",Saturday,Los Angeles,bassPOD,10:30pm-12am,Marky
2009,"June 27, 2009",Saturday,Los Angeles,bassPOD,12am-1:30am,Andy C
2009,"June 27, 2009",Saturday,Los Angeles,bassPOD,1:30am-3am,Friction
2009,"June 27, 2009",Saturday,Los Angeles,bassPOD,3am-4am,Subfocus
2009,"June 27, 2009",Saturday,Los Angeles,cosmicMEADOW,4pm-6pm,Andy Caldwell
2009,"June 27, 2009",Saturday,Los Angeles,cosmicMEADOW,6:15pm-7:45pm,Tortured Soul (live)
2009,"June 27, 2009",Saturday,Los Angeles,cosmicMEADOW,8pm-10pm,Dennis Ferrer
2009,"June 27, 2009",Saturday,Los Angeles,cosmicMEADOW,10pm-12am,The Martinez Brothers
2009,"June 27, 2009",Saturday,Los Angeles,cosmicMEADOW,12am-2am,Mark Farina
2009,"June 27, 2009",Saturday,Los Angeles,cosmicMEADOW,2am-4am,Roger Sanchez
2010,"June 25, 2010",Friday,Los Angeles,kineticFIELD,1pm-3pm,Joaquin Bamaca
2010,"June 25, 2010",Friday,Los Angeles,kineticFIELD,3pm-4pm,Trent Cantrelle
2010,"June 25, 2010",Friday,Los Angeles,kineticFIELD,4pm-5pm,Donald Glaude
2010,"June 25, 2010",Friday,Los Angeles,kineticFIELD,5pm-6pm,Oscar G
2010,"June 25, 2010",Friday,Los Angeles,kineticFIELD,6pm-7:30pm,Chuckie
2010,"June 25, 2010",Friday,Los Angeles,kineticFIELD,7:30pm-9pm,Dirty South
2010,"June 25, 2010",Friday,Los Angeles,kineticFIELD,9pm-11pm,Swedish House Mafia (Axwell / Steve Angello / Sebastian Ingrosso)
2010,"June 25, 2010",Friday,Los Angeles,kineticFIELD,11pm-12:30am,Kaskade
2010,"June 25, 2010",Friday,Los Angeles,kineticFIELD,12:45am-2am,Deadmau5
2010,"June 25, 2010",Friday,Los Angeles,circuitGROUNDS,1pm-2:30pm,Jason Blakemore
2010,"June 25, 2010",Friday,Los Angeles,circuitGROUNDS,2:30pm-4pm,Android Cartel
2010,"June 25, 2010",Friday,Los Angeles,circuitGROUNDS,4pm-5:30pm,Savoy
2010,"June 25, 2010",Friday,Los Angeles,circuitGROUNDS,5:30pm-7pm,Afrojack
2010,"June 25, 2010",Friday,Los Angeles,circuitGROUNDS,7pm-8pm,Z-Trip
2010,"June 25, 2010",Friday,Los Angeles,circuitGROUNDS,8pm-9:30pm,Basement Jaxx (DJ Set)
2010,"June 25, 2010",Friday,Los Angeles,circuitGROUNDS,9:45pm-10:45pm,Infected Mushroom (live)
2010,"June 25, 2010",Friday,Los Angeles,circuitGROUNDS,11pm-12:45am,Moby (DJ Set)
2010,"June 25, 2010",Friday,Los Angeles,circuitGROUNDS,1am-2am,BT (live)
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),2pm-3:30pm,Hyphy Crunk
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),3:30pm-4:40pm,Breakdown
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),4:40pm-5:40pm,Autoerotique
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),5:40pm-6:45pm,Congorock
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),6:45pm-7:45pm,Spank Rock
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),7:45pm-8:50pm,Steve Aoki
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),8:50pm-9:50pm,Dada Life
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),9:50pm-11pm,Bart B More
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),11pm-11:45pm,Travis x A-Trak
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),11:45pm-1am,Jack Beats
2010,"June 25, 2010",Friday,Los Angeles,cosmicMEADOW (presented by Dim Mak),1am-2am,Armand Van Helden
2010,"June 25, 2010",Friday,Los Angeles,neonGARDEN,3:30pm-5pm,Low End Specialists
2010,"June 25, 2010",Friday,Los Angeles,neonGARDEN,5pm-6:30pm,Manufactured Superstars
2010,"June 25, 2010",Friday,Los Angeles,neonGARDEN,6:30pm-8pm,Vive La Bunny
2010,"June 25, 2010",Friday,Los Angeles,neonGARDEN,8pm-9:10pm,The Japanese Popstars
2010,"June 25, 2010",Friday,Los Angeles,neonGARDEN,9:10pm-10:45pm,Felguk featuring Sporty-O
2010,"June 25, 2010",Friday,Los Angeles,neonGARDEN,10:45pm-12:20am,Avicii
2010,"June 25, 2010",Friday,Los Angeles,neonGARDEN,12:20am-2am,Claude Von Stroke
2010,"June 25, 2010",Friday,Los Angeles,bassPOD,3:30pm-5pm,Circuit
2010,"June 25, 2010",Friday,Los Angeles,bassPOD,5pm-6:30pm,Xample & MC Armanni Reign
2010,"June 25, 2010",Friday,Los Angeles,bassPOD,6:30pm-8pm,Marcus Intalex vs. Calibre
2010,"June 25, 2010",Friday,Los Angeles,bassPOD,8pm-9pm,Evol Intent (live)
2010,"June 25, 2010",Friday,Los Angeles,bassPOD,9pm-10pm,Excision
2010,"June 25, 2010",Friday,Los Angeles,bassPOD,10pm-11pm,12th Planet
2010,"June 25, 2010",Friday,Los Angeles,bassPOD,11pm-12am,Shy FX
2010,"June 25, 2010",Friday,Los Angeles,bassPOD,12am-2am,Dieselboy & MC Messinian
2010,"June 26, 2010",Saturday,Los Angeles,kineticFIELD,1pm-3pm,Joaquin Bamaca
2010,"June 26, 2010",Saturday,Los Angeles,kineticFIELD,3pm-4pm,Bart B More
2010,"June 26, 2010",Saturday,Los Angeles,kineticFIELD,4pm-5pm,Dada Life
2010,"June 26, 2010",Saturday,Los Angeles,kineticFIELD,5pm-6pm,Afrojack
2010,"June 26, 2010",Saturday,Los Angeles,kineticFIELD,6pm-7:30pm,will.I.am
2010,"June 26, 2010",Saturday,Los Angeles,kineticFIELD,7:30pm-9pm,Laidback Luke
2010,"June 26, 2010",Saturday,Los Angeles,kineticFIELD,9pm-10:30pm,Benny Benassi
2010,"June 26, 2010",Saturday,Los Angeles,kineticFIELD,10:30pm-12am,Above & Beyond
2010,"June 26, 2010",Saturday,Los Angeles,kineticFIELD,12am-2am,Armin Van Buuren
2010,"June 26, 2010",Saturday,Los Angeles,circuitGROUNDS,1pm-2:30pm,Jason Blakemore
2010,"June 26, 2010",Saturday,Los Angeles,circuitGROUNDS,2:30pm-4pm,Avicii
2010,"June 26, 2010",Saturday,Los Angeles,circuitGROUNDS,4pm-5:15pm,Chuckie
2010,"June 26, 2010",Saturday,Los Angeles,circuitGROUNDS,5:15pm-6:45pm,Roger Sanchez
2010,"June 26, 2010",Saturday,Los Angeles,circuitGROUNDS,645pm-8pm,James Zabiela
2010,"June 26, 2010",Saturday,Los Angeles,circuitGROUNDS,8pm-9:30pm,Groove Armada (DJ Set)
2010,"June 26, 2010",Saturday,Los Angeles,circuitGROUNDS,9:30pm-11pm,Sasha
2010,"June 26, 2010",Saturday,Los Angeles,circuitGROUNDS,11pm-12:30am,Fedde Le Grand
2010,"June 26, 2010",Saturday,Los Angeles,circuitGROUNDS,12:30am-2am,Boys Noize
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,2pm-3pm,Them Jeans
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,3pm-4:10pm,Two Fresh
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,4:10pm-5pm,Daedelus
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,5pm-6:10pm,Huoratron
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,6:10pm-7:10pm,Sound of Stereo
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,7:10pm-8:10pm,Felix Cartal
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,8:10pm-9:10pm,Harvard Bass
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,9:10pm-10:10pm,LA Riots
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,10:10pm-11:30pm,Wolfgang Gartner
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,11:30pm-12:45am,Duck Sauce
2010,"June 26, 2010",Saturday,Los Angeles,cosmicMEADOW,12:45am-2am,MSTRKRFT
2010,"June 26, 2010",Saturday,Los Angeles,neonGARDEN,2:30pm-4pm,Mars
2010,"June 26, 2010",Saturday,Los Angeles,neonGARDEN,4pm-5:25pm,Sean Tyas
2010,"June 26, 2010",Saturday,Los Angeles,neonGARDEN,5:25pm-6:50pm,Aly & Fila
2010,"June 26, 2010",Saturday,Los Angeles,neonGARDEN,6:50pm-8pm,Second Sun (live)
2010,"June 26, 2010",Saturday,Los Angeles,neonGARDEN,8pm-9:30pm,Gareth Emery
2010,"June 26, 2010",Saturday,Los Angeles,neonGARDEN,9:30pm-11pm,Christopher Lawrence
2010,"June 26, 2010",Saturday,Los Angeles,neonGARDEN,11pm-12:30am,John 00 Fleming
2010,"June 26, 2010",Saturday,Los Angeles,neonGARDEN,12:30am-2am,Simon Patterson
2010,"June 26, 2010",Saturday,Los Angeles,bassPOD,2:30pm-4pm,Subflo
2010,"June 26, 2010",Saturday,Los Angeles,bassPOD,4pm-5:30pm,Fury
2010,"June 26, 2010",Saturday,Los Angeles,bassPOD,5:30pm-6:30pm,Logistics
2010,"June 26, 2010",Saturday,Los Angeles,bassPOD,6:30pm-8pm,Dirtyphonics
2010,"June 26, 2010",Saturday,Los Angeles,bassPOD,8pm-9:30pm,LTJ Bukem & MC Conrad
2010,"June 26, 2010",Saturday,Los Angeles,bassPOD,9:30pm-11pm,Friction & Dynamite MC
2010,"June 26, 2010",Saturday,Los Angeles,bassPOD,11pm-12:30am,Marky
2010,"June 26, 2010",Saturday,Los Angeles,bassPOD,12:30am-2am,Andy C & MC GQ
2011,"June 24, 2011",Friday,Las Vegas,kineticFIELD,8pm-9:15pm,Trent Cantrelle
2011,"June 24, 2011",Friday,Las Vegas,kineticFIELD,9:15pm-10:45pm,Manufactured Superstars
2011,"June 24, 2011",Friday,Las Vegas,kineticFIELD,10:45pm-11:45pm,Wolfgang Gartner
2011,"June 24, 2011",Friday,Las Vegas,kineticFIELD,11:45pm-1am,Dirty South
2011,"June 24, 2011",Friday,Las Vegas,kineticFIELD,1am-3am,Tiesto
2011,"June 24, 2011",Friday,Las Vegas,kineticFIELD,3am-4:30am,Steve Angello
2011,"June 24, 2011",Friday,Las Vegas,kineticFIELD,4:30am-6am,Sander Van Doorn
2011,"June 24, 2011",Friday,Las Vegas,cosmicMEADOW,8pm-10pm,Joaquin Bamaca
2011,"June 24, 2011",Friday,Las Vegas,cosmicMEADOW,10:10pm-11:10pm,Beats Antique
2011,"June 24, 2011",Friday,Las Vegas,cosmicMEADOW,11:40pm-12:40am,Royksopp
2011,"June 24, 2011",Friday,Las Vegas,cosmicMEADOW,1:15am-2:30am,Richie Hawtin Presents Plastikman Live
2011,"June 24, 2011",Friday,Las Vegas,cosmicMEADOW,3am-4am,Sub Focus
2011,"June 24, 2011",Friday,Las Vegas,cosmicMEADOW,4:15am-6am,Steve Bug
2011,"June 24, 2011",Friday,Las Vegas,circuitGROUNDS,8-9pm,Wippenberg
2011,"June 24, 2011",Friday,Las Vegas,circuitGROUNDS,9-10pm,Crystal Method
2011,"June 24, 2011",Friday,Las Vegas,circuitGROUNDS,10-11pm,Christopher Lawrence
2011,"June 24, 2011",Friday,Las Vegas,circuitGROUNDS,11-12am,Roger Sanchez
2011,"June 24, 2011",Friday,Las Vegas,circuitGROUNDS,12-1:15am,Cosmic Gate
2011,"June 24, 2011",Friday,Las Vegas,circuitGROUNDS,1:15-3am,Calvin Harris
2011,"June 24, 2011",Friday,Las Vegas,circuitGROUNDS,3-4:30am,Steve Aoki
2011,"June 24, 2011",Friday,Las Vegas,circuitGROUNDS,4:30-6am,AutoErotique
2011,"June 24, 2011",Friday,Las Vegas,neonGARDEN,8:30pm-10:10pm,Kastle
2011,"June 24, 2011",Friday,Las Vegas,neonGARDEN,10:10pm-11:50pm,Them Jeans
